SamAccountName,Password,UserPrincipalName,DisplayName,GivenName,Surname,Email,Name,Path
joebloggs,put password here,joe.bloggs@dluhcdata.local,Joe Bloggs,Joe,Bloggs,Group-DLUHCDeltaNotifications+joebloggs@softwire.com,joe.bloggs,"CN=Datamart,OU=Users,OU=dluhcdata,DC=dluhcdata,DC=local"
deltaapp,put password here,delta.app@dluhcdata.local,Delta App,,,,delta.app,"OU=Users,OU=dluhcdata,DC=dluhcdata,DC=local"
deltaadmin,put password here,delta.admin@dluhcdata.local,Delta Admin,Delta,Admin,delta.admin,delta.admin,"CN=Datamart,OU=Users,OU=dluhcdata,DC=dluhcdata,DC=local"
deltauser,put password here,delta.user@dluhcdata.local,Delta User,Delta,User,delta.user,delta.user,"CN=Datamart,OU=Users,OU=dluhcdata,DC=dluhcdata,DC=local"
reportuser,put password here,report.user@dluhcdata.local,Report User,,,,report.user,"CN=Datamart,OU=Users,OU=dluhcdata,DC=dluhcdata,DC=local"
paymentapprover,put password here,payment.approver@dluhcdata.local,Payment Approver,Payment,Approver,Group-DLUHCDeltaNotifications+paymentapprover@softwire.com,payment.approver,"CN=Datamart,OU=Users,OU=dluhcdata,DC=dluhcdata,DC=local"
cpmapp,put password here,cpm.app@dluhcdata.local,CPM App,,,,cpm.app,"OU=Users,OU=dluhcdata,DC=dluhcdata,DC=local"
sap,put password here,sap@dluhcdata.local,SAP,,,,sap,"OU=Users,OU=dluhcdata,DC=dluhcdata,DC=local"
eclaims,put password here,eclaims@dluhcdata.local,Eclaims,,,,eclaims,"OU=Users,OU=dluhcdata,DC=dluhcdata,DC=local"
jasperreports,put password here,jasperreports@dluhcdata.local,Jasper Reports app,,,,jasperreports,"OU=Users,OU=dluhcdata,DC=dluhcdata,DC=local"
keycloak,put password here,keycloak@dluhcdata.local,Keycloak app,,,,keycloak,"OU=Users,OU=dluhcdata,DC=dluhcdata,DC=local"
deltaorbeon (see delta-service in datamart production for appropriate roles),put password here,deltaorbeon@dluhcdata.local,Delta Orbeon Service,,,,deltaorbeon,"OU=Users,OU=dluhcdata,DC=dluhcdata,DC=local"  
